step,retrieved_goal,answer
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Clean Acrylic,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Clean an Acrylic Painting,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Dispose of Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Make Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint Acrylic Clouds,2
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint Acrylic on Canvas,2
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint With Acrylics,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Remove Acrylic Paint,4
Apply your foundation.,Apply Cream Foundation,1
Apply your foundation.,Apply Even Foundation,1
Apply your foundation.,Apply Foundation,1
Apply your foundation.,Apply Foundation Primer,1
Apply your foundation.,Apply Foundation and Powder,1
Apply your foundation.,Apply Mousse Foundation,1
Apply your foundation.,Apply Powder Foundation,1
Apply your foundation.,Apply Stick Foundation,1
Apply your foundation.,Apply a Full Coverage Foundation,1
Be respectful.,Be Polite,1
Be respectful.,Be Respected,2
Be respectful.,Be Respectful,1
Be respectful.,Be Respectful of Your Family,1
Be respectful.,Be Respectful of Your Parents,1
Be respectful.,Be Respectfully Righteous,1
Be respectful.,Bow Politely,1
Be respectful.,Respect Yourself,1
Be respectful.,Show Respect,1
Drink a lot of water.,Boil Drinking Water,3
Drink a lot of water.,Drink Enough Water,1
Drink a lot of water.,Drink Hot Water,3
Drink a lot of water.,Drink Lemon Water,1
Drink a lot of water.,Drink More Water Every Day,1
Drink a lot of water.,Get Emergency Drinking Water from a Water Heater,0
Drink a lot of water.,Get in the Habit of Drinking Water,1
Drink a lot of water.,Make Your Dog Drink Water,0
Drink a lot of water.,Turn Salt Water Into Drinking Water,3
Edit your photographs using professional editing software.,Choose Video Editing Software,4
Edit your photographs using professional editing software.,Create Custom Gift Wrap Using Photo Editing Software,4
Edit your photographs using professional editing software.,Edit,2
Edit your photographs using professional editing software.,Edit Photos With GIMP,1
Edit your photographs using professional editing software.,Edit Photos with Snapseed,1
Edit your photographs using professional editing software.,Edit a Photo Fit for Print Using Photoshop,1
Edit your photographs using professional editing software.,Edit a Photo Like a Pro,1
Edit your photographs using professional editing software.,Use PowerPoint as Image Editing Software,1
Edit your photographs using professional editing software.,you edit your photos? | wikiHow Asks a Professional Photographer,1
"Keep your hands away from your eyes, nose, and mouth.",Blow Your Nose,0
"Keep your hands away from your eyes, nose, and mouth.",Get Fish Smell off Your Hands,0
"Keep your hands away from your eyes, nose, and mouth.",Get Rid of Spectacle Marks on Your Nose,0
"Keep your hands away from your eyes, nose, and mouth.",Get Rid of a Long‐Term Nose or Mouth Twitch,0
"Keep your hands away from your eyes, nose, and mouth.",Hang a Spoon from Your Nose,0
"Keep your hands away from your eyes, nose, and mouth.",Take Care of Your Eyes,2
"Keep your hands away from your eyes, nose, and mouth.",Take Care of Your Hands,0
"Keep your hands away from your eyes, nose, and mouth.",Wiggle Your Nose,0
"Keep your hands away from your eyes, nose, and mouth.",Wipe Your Nose on Your Hands,0
Learn to Irish Dance.,Become an Irish Dance Champion,1
Learn to Irish Dance.,Dance an Irish Jig,1
Learn to Irish Dance.,Have Correct Irish Dance Form,1
Learn to Irish Dance.,Irish Dance,1
Learn to Irish Dance.,Learn Common Phrases in Irish,4
Learn to Irish Dance.,Learn the Irish Language,4
Learn to Irish Dance.,Learn to Tap Dance,0
Learn to Irish Dance.,Resin Irish Dance Shoes,3
Learn to Irish Dance.,Teach Dance,2
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Attention,0
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions,2
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions Online,4
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions While Driving,0
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions While Studying,0
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Getting Cracks in Your Voice When Singing,1
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Getting Discouraged,2
Learn your part perfectly to avoid getting distracted by other singers.,Avoid Singing Through Your Nose,4
Learn your part perfectly to avoid getting distracted by other singers.,Learn to Sing Pop Without Getting a Teacher,3
Make new friends in the LGBTQ+ community if you don’t have support.,Accept Yourself as LGBT,1
Make new friends in the LGBTQ+ community if you don’t have support.,Accept an LGBTQ Person,1
Make new friends in the LGBTQ+ community if you don’t have support.,Celebrate LGBT+ Pride Month,2
Make new friends in the LGBTQ+ community if you don’t have support.,Deal with Pushback to Coming Out As LGBT,1
Make new friends in the LGBTQ+ community if you don’t have support.,Find a Welcoming College if You Are LGBT,1
Make new friends in the LGBTQ+ community if you don’t have support.,Get Legal Help for LGBT People,0
Make new friends in the LGBTQ+ community if you don’t have support.,Handle LGBT+ People,1
Make new friends in the LGBTQ+ community if you don’t have support.,Make Your Office More Inclusive of LGBTQ People,4
Make new friends in the LGBTQ+ community if you don’t have support.,Support the National LGBTQ Task Force,0
Paint with oil on top of gold leaf if you want rich colors.,Make Oil Paint,0
Paint with oil on top of gold leaf if you want rich colors.,Make Paint Colors,4
Paint with oil on top of gold leaf if you want rich colors.,Match Paint Colors,4
Paint with oil on top of gold leaf if you want rich colors.,Mix Gold Color,2
Paint with oil on top of gold leaf if you want rich colors.,Oil Paint,4
Paint with oil on top of gold leaf if you want rich colors.,Oil Paint Faces,4
Paint with oil on top of gold leaf if you want rich colors.,Oil Paint on Canvas,4
Paint with oil on top of gold leaf if you want rich colors.,Paint Gold,2
Paint with oil on top of gold leaf if you want rich colors.,Thin Oil Paint,0
Serve.,Do an Underhand Serve,0
Serve.,Serve Appetizers,1
Serve.,Serve Cheese,1
Serve.,Serve Court Papers,0
Serve.,Serve God,0
Serve.,Serve Ice Cream,1
Serve.,Serve Tea,1
Serve.,Serve and Drink Sake,1
Serve.,Serve on a Jury,0
Shift into first gear and slowly ride your bike.,Adjust Bike Gears,3
Shift into first gear and slowly ride your bike.,Gear Up for a Motorcycle Ride,0
Shift into first gear and slowly ride your bike.,Ride Your First Dirt Bike,2
Shift into first gear and slowly ride your bike.,Ride a Bicycle,0
Shift into first gear and slowly ride your bike.,Ride a Fixed Gear Bike,3
Shift into first gear and slowly ride your bike.,Ride a Motorcycle,2
Shift into first gear and slowly ride your bike.,Ride a Road Bike,3
Shift into first gear and slowly ride your bike.,Shift Gears on a Bike,3
Shift into first gear and slowly ride your bike.,Shift Gears on a Motorcycle,1
Start the engine.,Build a Motor,3
Start the engine.,Make a Game Engine,0
Start the engine.,Make a Steam Engine,0
Start the engine.,Push Start a Motorcycle,1
Start the engine.,Rebuild an Engine,3
Start the engine.,Start,0
Start the engine.,"Start a Carbureted, Electric Start Outboard Motor",1
Start the engine.,Start a Motorcycle,1
Start the engine.,Start an Outboard Motor,1
Take your temperature to see if you have a fever.,Act when You Have Fever,3
Take your temperature to see if you have a fever.,Get Rid of a Fever,3
Take your temperature to see if you have a fever.,Measure Temperature,1
Take your temperature to see if you have a fever.,React When You Have a Fever,1
Take your temperature to see if you have a fever.,Take a Feeling Temperature,1
Take your temperature to see if you have a fever.,Take a Horse's Temperature,0
Take your temperature to see if you have a fever.,Take a Temperature,1
Take your temperature to see if you have a fever.,Tell if You Have a Fever,1
Take your temperature to see if you have a fever.,Treat a Fever,4
Thread the needle.,Choose Sewing Thread,1
Thread the needle.,Do Needlepoint,1
Thread the needle.,Needle Felt,3
Thread the needle.,Needle Punch,3
Thread the needle.,Sew a Knitting Needle Roll Up,1
Thread the needle.,Thread a Needle,1
Thread the needle.,Thread a Needle and Tie a Knot,1
Thread the needle.,Thread a Sewing Machine,1
Thread the needle.,Use a Needle Threader,1
Validate their feelings when they express unhappiness about quarantine.,Express Hurt Feelings in Words,1
Validate their feelings when they express unhappiness about quarantine.,Express Sympathy,3
Validate their feelings when they express unhappiness about quarantine.,Express True Feelings when Shy,3
Validate their feelings when they express unhappiness about quarantine.,Express Your Feelings,1
Validate their feelings when they express unhappiness about quarantine.,Express Your Feelings in Writing,3
Validate their feelings when they express unhappiness about quarantine.,Help Your Toddler Express Their Feelings,0
Validate their feelings when they express unhappiness about quarantine.,Prove an Emotional Distress Claim,0
Validate their feelings when they express unhappiness about quarantine.,Quarantine Yourself,4
Validate their feelings when they express unhappiness about quarantine.,Validate Someone's Feelings,1
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Backstitch Curves in Cross Stitch,3
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Do a Zigzag Stitch by Hand,1
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Knit a Zig Zag Blanket,1
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Knit a Zig Zag Pattern,1
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Make a Cross Stitch Pattern,3
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Pin a Pattern,2
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Sew a Knitting Needle Roll Up,0
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Thread a Needle,1
Weave the needle back and forth through both torn edges in a zig-zag pattern.,Zigzag Stitch,1
Write your introduction.,Write,1
Write your introduction.,Write Introductions,1
Write your introduction.,Write Your Own Performance Review,3
Write your introduction.,Write a Portfolio Introduction,4
Write your introduction.,Write a Research Introduction,4
Write your introduction.,Write an Essay Introduction,1
Write your introduction.,Write an Introduction Paragraph,1
Write your introduction.,Write an Introduction for a Persuasive Speech,3
Write your introduction.,Write an Introduction to a Book,4
